dx,days_since_index,n
00845,-365,2
00845,-364,1
00845,-363,1
00845,-362,2
00845,-361,1
00845,-360,1
00845,-359,1
00845,-358,1
00845,-357,3
00845,-356,0
00845,-355,2
00845,-354,1
00845,-353,2
00845,-352,0
00845,-351,2
00845,-350,1
00845,-349,1
00845,-348,0
00845,-347,1
00845,-346,1
00845,-345,2
00845,-344,0
00845,-343,2
00845,-342,1
00845,-341,1
00845,-340,1
00845,-339,1
00845,-338,2
00845,-337,1
00845,-336,1
00845,-335,1
00845,-334,0
00845,-333,1
00845,-332,1
00845,-331,2
00845,-330,1
00845,-329,2
00845,-328,1
00845,-327,2
00845,-326,0
00845,-325,2
00845,-324,2
00845,-323,0
00845,-322,1
00845,-321,1
00845,-320,2
00845,-319,3
00845,-318,1
00845,-317,0
00845,-316,1
00845,-315,1
00845,-314,1
00845,-313,1
00845,-312,0
00845,-311,1
00845,-310,0
00845,-309,0
00845,-308,2
00845,-307,2
00845,-306,1
00845,-305,0
00845,-304,2
00845,-303,0
00845,-302,2
00845,-301,0
00845,-300,1
00845,-299,0
00845,-298,0
00845,-297,1
00845,-296,1
00845,-295,1
00845,-294,3
00845,-293,0
00845,-292,2
00845,-291,1
00845,-290,0
00845,-289,2
00845,-288,0
00845,-287,1
00845,-286,0
00845,-285,0
00845,-284,3
00845,-283,0
00845,-282,3
00845,-281,0
00845,-280,0
00845,-279,3
00845,-278,1
00845,-277,0
00845,-276,0
00845,-275,0
00845,-274,2
00845,-273,2
00845,-272,0
00845,-271,0
00845,-270,1
00845,-269,1
00845,-268,1
00845,-267,0
00845,-266,1
00845,-265,0
00845,-264,0
00845,-263,3
00845,-262,1
00845,-261,1
00845,-260,0
00845,-259,1
00845,-258,2
00845,-257,2
00845,-256,0
00845,-255,1
00845,-254,1
00845,-253,2
00845,-252,0
00845,-251,0
00845,-250,0
00845,-249,1
00845,-248,1
00845,-247,0
00845,-246,0
00845,-245,0
00845,-244,0
00845,-243,1
00845,-242,1
00845,-241,0
00845,-240,2
00845,-239,0
00845,-238,0
00845,-237,1
00845,-236,0
00845,-235,1
00845,-234,0
00845,-233,2
00845,-232,1
00845,-231,0
00845,-230,2
00845,-229,0
00845,-228,1
00845,-227,0
00845,-226,0
00845,-225,1
00845,-224,1
00845,-223,0
00845,-222,2
00845,-221,1
00845,-220,0
00845,-219,1
00845,-218,0
00845,-217,0
00845,-216,3
00845,-215,0
00845,-214,2
00845,-213,1
00845,-212,2
00845,-211,0
00845,-210,1
00845,-209,0
00845,-208,0
00845,-207,0
00845,-206,0
00845,-205,1
00845,-204,1
00845,-203,0
00845,-202,1
00845,-201,1
00845,-200,0
00845,-199,0
00845,-198,1
00845,-197,0
00845,-196,0
00845,-195,0
00845,-194,2
00845,-193,2
00845,-192,0
00845,-191,2
00845,-190,1
00845,-189,1
00845,-188,0
00845,-187,0
00845,-186,1
00845,-185,0
00845,-184,0
00845,-183,0
00845,-182,2
00845,-181,3
00845,-180,0
00845,-179,0
00845,-178,1
00845,-177,0
00845,-176,1
00845,-175,0
00845,-174,1
00845,-173,2
00845,-172,1
00845,-171,0
00845,-170,1
00845,-169,0
00845,-168,1
00845,-167,3
00845,-166,0
00845,-165,3
00845,-164,2
00845,-163,0
00845,-162,0
00845,-161,2
00845,-160,2
00845,-159,1
00845,-158,3
00845,-157,0
00845,-156,0
00845,-155,1
00845,-154,0
00845,-153,2
00845,-152,2
00845,-151,0
00845,-150,1
00845,-149,0
00845,-148,1
00845,-147,0
00845,-146,0
00845,-145,0
00845,-144,2
00845,-143,2
00845,-142,1
00845,-141,1
00845,-140,0
00845,-139,0
00845,-138,3
00845,-137,4
00845,-136,0
00845,-135,3
00845,-134,0
00845,-133,1
00845,-132,0
00845,-131,2
00845,-130,5
00845,-129,0
00845,-128,0
00845,-127,0
00845,-126,2
00845,-125,2
00845,-124,3
00845,-123,0
00845,-122,2
00845,-121,0
00845,-120,2
00845,-119,0
00845,-118,1
00845,-117,2
00845,-116,1
00845,-115,2
00845,-114,4
00845,-113,1
00845,-112,0
00845,-111,2
00845,-110,4
00845,-109,0
00845,-108,4
00845,-107,2
00845,-106,4
00845,-105,2
00845,-104,5
00845,-103,5
00845,-102,0
00845,-101,6
00845,-100,1
00845,-99,6
00845,-98,5
00845,-97,3
00845,-96,2
00845,-95,1
00845,-94,5
00845,-93,2
00845,-92,3
00845,-91,2
00845,-90,5
00845,-89,3
00845,-88,1
00845,-87,0
00845,-86,4
00845,-85,0
00845,-84,1
00845,-83,4
00845,-82,1
00845,-81,3
00845,-80,0
