"words"	"Freq"
"sepsis"	1751
"patients"	1143
"symptoms"	712
"clinical"	618
"infection"	464
"blood"	449
"diagnosis"	439
"treatment"	393
"study"	367
"septic"	333
"results"	322
"early"	320
"had"	319
"patient"	315
"cases"	302
"signs"	294
"mortality"	275
"neonatal"	266
"antibiotic"	261
"may"	252
"hospital"	244
"therapy"	240
"infants"	239
"risk"	238
"care"	232
"group"	219
"severe"	206
"antibiotics"	196
"methods"	195
"disease"	191
"s"	189
"positive"	188
"shock"	182
"more"	179
"associated"	175
"during"	173
"has"	172
"infections"	170
"neonates"	170
"days"	168
"culture"	162
"cultures"	162
"factors"	159
"diagnostic"	156
"case"	155
"fever"	153
"onset"	153
"levels"	152
"been"	147
"should"	146
"high"	144
"intensive"	143
"used"	141
"bacterial"	137
"acute"	136
"common"	134
"age"	133
"data"	131
"laboratory"	127
"systemic"	125
"medical"	124
"response"	123
"suspected"	123
"organ"	121
"rate"	121
"syndrome"	119
"inflammatory"	116
"management"	116
"information"	115
"compared"	114
"crp"	114
"children"	113
"however"	113
"conclusion"	111
"due"	111
"included"	111
"conclusions"	110
"present"	110
"significantly"	110
"failure"	109
"significant"	109
"within"	106
"emergency"	105
"analysis"	103
"bacteremia"	103
"sensitivity"	103
"both"	102
"hours"	102
"treated"	102
"before"	101
"including"	101
"performed"	99
"admitted"	98
"background"	98
"outcome"	97
"developed"	96
"increased"	96
"serum"	96
"unit"	96
"university"	95
"showed"	94
"often"	93
"using"	93
"groups"	92
"protein"	91
"admission"	90
"found"	90
"presented"	90
"pct"	89
"three"	89
"among"	88
"those"	88
"without"	88
"author"	85
"condition"	85
"health"	85
"negative"	85
"such"	85
"cause"	84
"period"	84
"total"	84
"bacteria"	83
"value"	83
"department"	82
"years"	82
"important"	81
"medicine"	81
"newborns"	81
"objective"	81
"studies"	81
"initial"	80
"respiratory"	80
"specificity"	80
"ed"	79
"higher"	79
"dysfunction"	78
"findings"	78
"outcomes"	78
"review"	78
"surgical"	78
"diagnosed"	77
"p"	77
"test"	76
"complications"	75
"identify"	75
"caused"	74
"illness"	74
"identified"	73
"incidence"	73
"report"	73
"severity"	73
"count"	72
"predictive"	72
"septicemia"	71
"birth"	70
"control"	70
"criteria"	70
"death"	70
"life"	70
"procalcitonin"	70
"based"	69
"per"	69
"presentation"	69
"symptom"	69
"pain"	68
"presence"	68
"vs"	68
"(p"	67
"asymptomatic"	67
"evaluation"	67
"respectively"	67
"result"	67
"considered"	66
"maternal"	66
"score"	66
"specific"	66
"system"	66
"changes"	65
"critical"	65
"different"	65
"fluid"	65
"model"	65
"presenting"	65
"<"	64
"course"	64
"improve"	64
"samples"	64
"tests"	63
"appropriate"	62
"conditions"	62
"development"	62
"history"	62
"low"	62
"potential"	62
"retrospective"	62
"approach"	61
"features"	61
"level"	61
"assessment"	60
"de"	60
"less"	60
"surgery"	60
"24"	59
"further"	59
"many"	59
"values"	59
"general"	58
"ratio"	58
"c"	57
"central"	57
"lower"	57
"morbidity"	57
"term"	57
"therefore"	57
"while"	57
"b"	56
"ci"	56
"following"	56
"h"	56
"administration"	55
"aim"	55
"confirmed"	55
"current"	55
"eos"	55
"recognition"	55
"died"	54
"infectious"	54
"possible"	54
"causes"	53
"detection"	53
"determine"	53
"evidence"	53
"four"	53
"preterm"	53
"rare"	53
"reduce"	53
"reported"	53
"10"	52
"cell"	52
"did"	52
"meningitis"	52
"multiple"	52
"001)"	51
"aureus"	51
"c-reactive"	51
"evaluated"	51
"urine"	51
"catheter"	50
"difficult"	50
"elevated"	50
"examination"	50
"mean"	50
"pulmonary"	50
"revealed"	50
"role"	50
"screening"	50
"temperature"	50
"biomarkers"	49
"cohort"	49
"icu"	49
"major"	49
"under"	49
"95%"	48
"according"	48
"chest"	48
"early-onset"	48
"immune"	48
"intravenous"	48
"therapeutic"	48
"abdominal"	47
"effective"	47
"isolated"	47
"number"	47
"observed"	47
"pregnancy"	47
"related"	47
"septicaemia"	47
"staphylococcus"	47
"evaluate"	46
"infant"	46
"normal"	46
"parameters"	46
"population"	46
"renal"	46
"sirs"	46
"tissue"	46
"and/or"	45
"antimicrobial"	45
"include"	45
"increase"	45
"knowledge"	45
"pathogens"	45
"plasma"	45
"prospective"	45
"secondary"	45
"whether"	45
"12"	44
"abscess"	44
"article"	44
"chronic"	44
"coli"	44
"differences"	44
"effects"	44
"received"	44
"diseases"	43
"duration"	43
"late"	43
"similar"	43
"studied"	43
"through"	43
"available"	42
"conducted"	42
"differential"	42
"especially"	42
"rapid"	42
"survival"	42
"tool"	42
"very"	42
"demonstrated"	41
"die"	41
"identification"	41
"il-6"	41
"improved"	41
"lead"	41
"leading"	41
"life-threatening"	41
"months"	41
"newborn"	41
"research"	41
"seen"	41
"women"	41
"brain"	40
"characteristics"	40
"decreased"	40
"drug"	40
"each"	40
"encephalopathy"	40
"endocarditis"	40
"main"	40
"quality"	40
"remains"	40
"setting"	40
"tract"	40
"commonly"	39
"delayed"	39
"despite"	39
"detected"	39
"method"	39
"obtained"	39
"poor"	39
"skin"	39
"support"	39
"body"	38
"five"	38
"function"	38
"gram-negative"	38
"imaging"	38
"injury"	38
"intervention"	38
"markers"	38
"neutrophil"	38
"(n"	37
"addition"	37
"adult"	37
"jaundice"	37
"known"	37
"los"	37
"made"	37
"prevention"	37
"reviewed"	37
"streptococcus"	37
"usually"	37
"(or"	36
"being"	36
"defined"	36
"frequently"	36
"gastrointestinal"	36
"greater"	36
"guidelines"	36
"ii"	36
"infected"	36
"literature"	36
"peripheral"	36
"practice"	36
"prognostic"	36
"several"	36
"source"	36
"stay"	36
"strategies"	36
"weeks"	36
"-"	35
"although"	35
"association"	35
"bloodstream"	35
"clinicians"	35
"collected"	35
"com"	35
"definitions"	35
"described"	35
"develop"	35
"followed"	35
"heart"	35
"investigated"	35
"january"	35
"occurred"	35
"potentially"	35
"recent"	35
"susceptibility"	35
"center"	34
"e"	34
"need"	34
"ng/ml"	34
"older"	34
"organisms"	34
"primary"	34
"prior"	34
"prognosis"	34
"prolonged"	34
"routine"	34
"serious"	34
"urinary"	34
"venous"	34
"16"	33
"20"	33
"48"	33
"abnormal"	33
"born"	33
"delay"	33
"design"	33
"process"	33
"sensitive"	33
"useful"	33
"white"	33
"accuracy"	32
"combination"	32
"combined"	32
"decrease"	32
"healthy"	32
"hospitalized"	32
"symptomatic"	32
"trials"	32
"underlying"	32
"weight"	32
"assess"	31
"better"	31
"clinically"	31
"determined"	31
"distress"	31
"improvement"	31
"later"	31
"man"	31
"needed"	31
"pcr"	31
"rates"	31
"suspicion"	31
"30"	30
"5%"	30
"anaerobic"	30
"basis"	30
"cerebral"	30
"coagulation"	30
"controls"	30
"essential"	30
"frequent"	30
"indicated"	30
"liver"	30
"measured"	30
"measures"	30
"occurring"	30
"overall"	30
"reduction"	30
"same"	30
"testing"	30
"(1)department"	29
"(crp)"	29
"characteristic"	29
"complicated"	29
"describe"	29
"developing"	29
"elevation"	29
"i"	29
"ill"	29
"inflammation"	29
"left"	29
"long-term"	29
"majority"	29
"models"	29
"must"	29
"necessary"	29
"pediatric"	29
"pressure"	29
"since"	29
"vital"	29
"8%"	28
"babies"	28
"bsis"	28
"der"	28
"discussed"	28
"interventions"	28
"might"	28
"reaction"	28
"species"	28
"standard"	28
"thus"	28
"variables"	28
"01)"	27
"38"	27
"alone"	27
"assessed"	27
"causative"	27
"discharge"	27
"escherichia"	27
"examined"	27
"experience"	27
"expression"	27
"factor"	27
"focus"	27
"gbs"	27
"help"	27
"hospitals"	27
"host"	27
"joint"	27
"lesions"	27
"monitoring"	27
"non-specific"	27
"order"	27
"organism"	27
"physical"	27
"predict"	27
"previous"	27
"purpose"	27
"range"	27
"scores"	27
"seven"	27
"third"	27
"treatments"	27
"understanding"	27
"underwent"	27
"14"	26
"17"	26
"analyzed"	26
"best"	26
"curve"	26
"delivery"	26
"earlier"	26
"empiric"	26
"gestational"	26
"identifying"	26
"manifestations"	26
"median"	26
"pathophysiology"	26
"platelet"	26
"premature"	26
"prompt"	26
"provide"	26
"taken"	26
"11"	25
"18"	25
"2%)"	25
"3%)"	25
"5%)"	25
"6%"	25
"cent"	25
"concentrations"	25
"contamination"	25
"correlation"	25
"enrolled"	25
"independent"	25
"initiation"	25
"isolates"	25
"large"	25
"mental"	25
"nurses"	25
"prediction"	25
"reduced"	25
"right"	25
"second"	25
"states"	25
"still"	25
"systems"	25
"thrombosis"	25
"tools"	25
"und"	25
"v"	25
"05)"	24
"4%"	24
"absence"	24
"accurate"	24
"cardiac"	24
"cells"	24
"diagnose"	24
"drainage"	24
"effect"	24
"either"	24
"episodes"	24
"fatal"	24
"few"	24
"highest"	24
"in-hospital"	24
"lactate"	24
"lung"	24
"marker"	24
"metabolic"	24
"mice"	24
"particularly"	24
"protocol"	24
"rapidly"	24
"removal"	24
"resuscitation"	24
"school"	24
"shown"	24
"where"	24
"(1"	23
"(95%"	23
"8%)"	23
"adverse"	23
"against"	23
"ampicillin"	23
"approaches"	23
"burn"	23
"child"	23
"ct"	23
"cytokines"	23
"diagnoses"	23
"eight"	23
"healthcare"	23
"implementation"	23
"increasing"	23
"initially"	23
"last"	23
"length"	23
"listeria"	23
"molecular"	23
"necrosis"	23
"nonspecific"	23
"part"	23
"pathogen"	23
"placebo"	23
"previously"	23
"recommended"	23
"required"	23
"show"	23
"state"	23
"treat"	23
"treating"	23
"uk"	23
"wbc"	23
"woman"	23
"younger"	23
">"	22
"27"	22
